0: IMG_2373
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7717

1: IMG_2374
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11779

2: IMG_2375
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8256

3: IMG_2376
image_size:	4032x3024
focal_length:	3136.000
#sift count:	9255

4: IMG_2377
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7981

5: IMG_2378
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7997

6: IMG_2379
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7876

7: IMG_2380
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8145

8: IMG_2381
image_size:	4032x3024
focal_length:	3136.000
#sift count:	12042

9: IMG_2382
image_size:	4032x3024
focal_length:	3136.000
#sift count:	10662

10: IMG_2383
image_size:	4032x3024
focal_length:	3136.000
#sift count:	10662

11: IMG_2384
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8290

12: IMG_2385
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11835

13: IMG_2386
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11545

14: IMG_2387
image_size:	4032x3024
focal_length:	3136.000
#sift count:	10157

15: IMG_2388
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8506

16: IMG_2389
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8329

17: IMG_2390
image_size:	4032x3024
focal_length:	3136.000
#sift count:	12214

18: IMG_2391
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11742

19: IMG_2392
image_size:	4032x3024
focal_length:	3136.000
#sift count:	12022

20: IMG_2393
image_size:	4032x3024
focal_length:	3136.000
#sift count:	12543

21: IMG_2394
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7754

22: IMG_2395
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8151

23: IMG_2396
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8007

24: IMG_2397
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8162

25: IMG_2398
image_size:	4032x3024
focal_length:	3136.000
#sift count:	12657

26: IMG_2399
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8777

27: IMG_2400
image_size:	4032x3024
focal_length:	3136.000
#sift count:	9036

28: IMG_2401
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8853

29: IMG_2402
image_size:	4032x3024
focal_length:	3136.000
#sift count:	9347

30: IMG_2403
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7915

31: IMG_2404
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7765

32: IMG_2405
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8311

33: IMG_2406
image_size:	4032x3024
focal_length:	3136.000
#sift count:	12519

34: IMG_2407
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8331

35: IMG_2408
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7835

36: IMG_2409
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8123

37: IMG_2410
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7889

38: IMG_2411
image_size:	4032x3024
focal_length:	3136.000
#sift count:	10447

39: IMG_2412
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11072

40: IMG_2413
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11227

41: IMG_2414
image_size:	4032x3024
focal_length:	3136.000
#sift count:	12194

42: IMG_2415
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11745

43: IMG_2416
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11857

44: IMG_2417
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11256

45: IMG_2418
image_size:	4032x3024
focal_length:	3136.000
#sift count:	10236

46: IMG_2419
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11068

47: IMG_2420
image_size:	4032x3024
focal_length:	3136.000
#sift count:	12357

48: IMG_2421
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8265

49: IMG_2422
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8034

50: IMG_2423
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7961

51: IMG_2424
image_size:	4032x3024
focal_length:	3136.000
#sift count:	10575

52: IMG_2425
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7894

53: IMG_2426
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8682

54: IMG_2427
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8995

55: IMG_2428
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8720

56: IMG_2429
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8484

57: IMG_2430
image_size:	4032x3024
focal_length:	3136.000
#sift count:	9344

58: IMG_2431
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8605

59: IMG_2432
image_size:	4032x3024
focal_length:	3136.000
#sift count:	9821

60: IMG_2433
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8946

61: IMG_2434
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8505

62: IMG_2435
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8767

63: IMG_2436
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8787

64: IMG_2437
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8019

65: IMG_2438
image_size:	4032x3024
focal_length:	3136.000
#sift count:	9028

66: IMG_2439
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8540

67: IMG_2440
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8882

68: IMG_2441
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8710

69: IMG_2442
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8259

70: IMG_2443
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8081

71: IMG_2444
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7976

72: IMG_2445
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7793

73: IMG_2446
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11686

74: IMG_2447
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7994

75: IMG_2448
image_size:	4032x3024
focal_length:	3136.000
#sift count:	12500

76: IMG_2449
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8669

77: IMG_2450
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8866

78: IMG_2451
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8832

79: IMG_2452
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8191

80: IMG_2453
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7912

81: IMG_2454
image_size:	4032x3024
focal_length:	3136.000
#sift count:	9006

82: IMG_2455
image_size:	4032x3024
focal_length:	3136.000
#sift count:	9162

83: IMG_2456
image_size:	4032x3024
focal_length:	3136.000
#sift count:	9148

84: IMG_2457
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11736

85: IMG_2458
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8312

86: IMG_2459
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11770

87: IMG_2460
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11718

88: IMG_2461
image_size:	4032x3024
focal_length:	3136.000
#sift count:	9383

89: IMG_2462
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11243

90: IMG_2463
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11373

91: IMG_2464
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11563

92: IMG_2465
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11712

93: IMG_2466
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7739

94: IMG_2467
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8039

95: IMG_2468
image_size:	4032x3024
focal_length:	3136.000
#sift count:	10930

96: IMG_2469
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7871

97: IMG_2470
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7728

98: IMG_2471
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7807

99: IMG_2472
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11563

100: IMG_2473
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11740

101: IMG_2474
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11270

102: IMG_2475
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11895

103: IMG_2476
image_size:	4032x3024
focal_length:	3136.000
#sift count:	9013

104: IMG_2477
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7885

105: IMG_2478
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7880

106: IMG_2479
image_size:	4032x3024
focal_length:	3136.000
#sift count:	10721

107: IMG_2480
image_size:	4032x3024
focal_length:	3136.000
#sift count:	9527

108: IMG_2481
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8492

109: IMG_2482
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11439

110: IMG_2483
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8273

111: IMG_2484
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8253

112: IMG_2485
image_size:	4032x3024
focal_length:	3136.000
#sift count:	10277

113: IMG_2486
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7727

114: IMG_2487
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8915

115: IMG_2488
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8086

116: IMG_2489
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8118

117: IMG_2490
image_size:	4032x3024
focal_length:	3136.000
#sift count:	10869

118: IMG_2491
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11113

119: IMG_2492
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11449

120: IMG_2493
image_size:	4032x3024
focal_length:	3136.000
#sift count:	10742

121: IMG_2494
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11537

122: IMG_2495
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11113

123: IMG_2496
image_size:	4032x3024
focal_length:	3136.000
#sift count:	10712

124: IMG_2497
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8099

125: IMG_2498
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11990

126: IMG_2499
image_size:	4032x3024
focal_length:	3136.000
#sift count:	11301

127: IMG_2500
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8233

128: IMG_2501
image_size:	4032x3024
focal_length:	3136.000
#sift count:	7688

129: IMG_2502
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8288

130: IMG_2503
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8009

131: IMG_2504
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8081

132: IMG_2505
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8471

133: IMG_2506
image_size:	4032x3024
focal_length:	3136.000
#sift count:	8559

134: IMG_2507
image_size:	4032x3024
focal_length:	3136.000
#sift count:	10391

135: IMG_2508
image_size:	4032x3024
focal_length:	3136.000
#sift count:	9623

136: IMG_2509
image_size:	4032x3024
