0: IMG_2373
image_size:	4032x3024
focal_length:	3136.000
1: IMG_2374
image_size:	4032x3024
focal_length:	3136.000
2: IMG_2375
image_size:	4032x3024
focal_length:	3136.000
3: IMG_2376
image_size:	4032x3024
focal_length:	3136.000
4: IMG_2377
image_size:	4032x3024
focal_length:	3136.000
5: IMG_2378
image_size:	4032x3024
focal_length:	3136.000
6: IMG_2379
image_size:	4032x3024
focal_length:	3136.000
7: IMG_2380
image_size:	4032x3024
focal_length:	3136.000
8: IMG_2381
image_size:	4032x3024
focal_length:	3136.000
9: IMG_2382
image_size:	4032x3024
focal_length:	3136.000
10: IMG_2383
image_size:	4032x3024
focal_length:	3136.000
11: IMG_2384
image_size:	4032x3024
focal_length:	3136.000
12: IMG_2385
image_size:	4032x3024
focal_length:	3136.000
13: IMG_2386
image_size:	4032x3024
focal_length:	3136.000
14: IMG_2387
image_size:	4032x3024
focal_length:	3136.000
15: IMG_2388
image_size:	4032x3024
focal_length:	3136.000
16: IMG_2389
image_size:	4032x3024
focal_length:	3136.000
17: IMG_2390
image_size:	4032x3024
focal_length:	3136.000
18: IMG_2391
image_size:	4032x3024
focal_length:	3136.000
19: IMG_2392
image_size:	4032x3024
focal_length:	3136.000
20: IMG_2393
image_size:	4032x3024
focal_length:	3136.000
21: IMG_2394
image_size:	4032x3024
focal_length:	3136.000
22: IMG_2395
image_size:	4032x3024
focal_length:	3136.000
23: IMG_2396
image_size:	4032x3024
focal_length:	3136.000
24: IMG_2397
image_size:	4032x3024
focal_length:	3136.000
25: IMG_2398
image_size:	4032x3024
focal_length:	3136.000
26: IMG_2399
image_size:	4032x3024
focal_length:	3136.000
27: IMG_2400
image_size:	4032x3024
focal_length:	3136.000
28: IMG_2401
image_size:	4032x3024
focal_length:	3136.000
29: IMG_2402
image_size:	4032x3024
focal_length:	3136.000
30: IMG_2403
image_size:	4032x3024
focal_length:	3136.000
31: IMG_2404
image_size:	4032x3024
focal_length:	3136.000
32: IMG_2405
image_size:	4032x3024
focal_length:	3136.000
33: IMG_2406
image_size:	4032x3024
focal_length:	3136.000
34: IMG_2407
image_size:	4032x3024
focal_length:	3136.000
35: IMG_2408
image_size:	4032x3024
focal_length:	3136.000
36: IMG_2409
image_size:	4032x3024
focal_length:	3136.000
37: IMG_2410
image_size:	4032x3024
focal_length:	3136.000
38: IMG_2411
image_size:	4032x3024
focal_length:	3136.000
39: IMG_2412
image_size:	4032x3024
focal_length:	3136.000
40: IMG_2413
image_size:	4032x3024
focal_length:	3136.000
41: IMG_2414
image_size:	4032x3024
focal_length:	3136.000
42: IMG_2415
image_size:	4032x3024
focal_length:	3136.000
43: IMG_2416
image_size:	4032x3024
focal_length:	3136.000
44: IMG_2417
image_size:	4032x3024
focal_length:	3136.000
45: IMG_2418
image_size:	4032x3024
focal_length:	3136.000
46: IMG_2419
image_size:	4032x3024
focal_length:	3136.000
47: IMG_2420
image_size:	4032x3024
focal_length:	3136.000
48: IMG_2421
image_size:	4032x3024
focal_length:	3136.000
49: IMG_2422
image_size:	4032x3024
focal_length:	3136.000
50: IMG_2423
image_size:	4032x3024
focal_length:	3136.000
51: IMG_2424
image_size:	4032x3024
focal_length:	3136.000
52: IMG_2425
image_size:	4032x3024
focal_length:	3136.000
53: IMG_2426
image_size:	4032x3024
focal_length:	3136.000
54: IMG_2427
image_size:	4032x3024
focal_length:	3136.000
55: IMG_2428
image_size:	4032x3024
focal_length:	3136.000
56: IMG_2429
image_size:	4032x3024
focal_length:	3136.000
57: IMG_2430
image_size:	4032x3024
focal_length:	3136.000
58: IMG_2431
image_size:	4032x3024
focal_length:	3136.000
59: IMG_2432
image_size:	4032x3024
focal_length:	3136.000
60: IMG_2433
image_size:	4032x3024
focal_length:	3136.000
61: IMG_2434
image_size:	4032x3024
focal_length:	3136.000
62: IMG_2435
image_size:	4032x3024
focal_length:	3136.000
63: IMG_2436
image_size:	4032x3024
focal_length:	3136.000
64: IMG_2437
image_size:	4032x3024
focal_length:	3136.000
65: IMG_2438
image_size:	4032x3024
focal_length:	3136.000
66: IMG_2439
image_size:	4032x3024
focal_length:	3136.000
67: IMG_2440
image_size:	4032x3024
focal_length:	3136.000
68: IMG_2441
image_size:	4032x3024
focal_length:	3136.000
69: IMG_2442
image_size:	4032x3024
focal_length:	3136.000
70: IMG_2443
image_size:	4032x3024
focal_length:	3136.000
71: IMG_2444
image_size:	4032x3024
focal_length:	3136.000
72: IMG_2445
image_size:	4032x3024
focal_length:	3136.000
73: IMG_2446
image_size:	4032x3024
focal_length:	3136.000
74: IMG_2447
image_size:	4032x3024
focal_length:	3136.000
75: IMG_2448
image_size:	4032x3024
focal_length:	3136.000
76: IMG_2449
image_size:	4032x3024
focal_length:	3136.000
77: IMG_2450
image_size:	4032x3024
focal_length:	3136.000
78: IMG_2451
image_size:	4032x3024
focal_length:	3136.000
79: IMG_2452
image_size:	4032x3024
focal_length:	3136.000
80: IMG_2453
image_size:	4032x3024
focal_length:	3136.000
81: IMG_2454
image_size:	4032x3024
focal_length:	3136.000
82: IMG_2455
image_size:	4032x3024
focal_length:	3136.000
83: IMG_2456
image_size:	4032x3024
focal_length:	3136.000
84: IMG_2457
image_size:	4032x3024
focal_length:	3136.000
85: IMG_2458
image_size:	4032x3024
focal_length:	3136.000
86: IMG_2459
image_size:	4032x3024
focal_length:	3136.000
87: IMG_2460
image_size:	4032x3024
focal_length:	3136.000
88: IMG_2461
image_size:	4032x3024
focal_length:	3136.000
89: IMG_2462
image_size:	4032x3024
focal_length:	3136.000
90: IMG_2463
image_size:	4032x3024
focal_length:	3136.000
91: IMG_2464
image_size:	4032x3024
focal_length:	3136.000
92: IMG_2465
image_size:	4032x3024
focal_length:	3136.000
93: IMG_2466
image_size:	4032x3024
focal_length:	3136.000
94: IMG_2467
image_size:	4032x3024
focal_length:	3136.000
95: IMG_2468
image_size:	4032x3024
focal_length:	3136.000
96: IMG_2469
image_size:	4032x3024
focal_length:	3136.000
97: IMG_2470
image_size:	4032x3024
focal_length:	3136.000
98: IMG_2471
image_size:	4032x3024
focal_length:	3136.000
99: IMG_2472
image_size:	4032x3024
focal_length:	3136.000
100: IMG_2473
image_size:	4032x3024
focal_length:	3136.000
101: IMG_2474
image_size:	4032x3024
focal_length:	3136.000
102: IMG_2475
image_size:	4032x3024
focal_length:	3136.000
103: IMG_2476
image_size:	4032x3024
focal_length:	3136.000
104: IMG_2477
image_size:	4032x3024
focal_length:	3136.000
105: IMG_2478
image_size:	4032x3024
focal_length:	3136.000
106: IMG_2479
image_size:	4032x3024
focal_length:	3136.000
107: IMG_2480
image_size:	4032x3024
focal_length:	3136.000
108: IMG_2481
image_size:	4032x3024
focal_length:	3136.000
109: IMG_2482
image_size:	4032x3024
focal_length:	3136.000
110: IMG_2483
image_size:	4032x3024
focal_length:	3136.000
111: IMG_2484
image_size:	4032x3024
focal_length:	3136.000
112: IMG_2485
image_size:	4032x3024
focal_length:	3136.000
113: IMG_2486
image_size:	4032x3024
focal_length:	3136.000
114: IMG_2487
image_size:	4032x3024
focal_length:	3136.000
115: IMG_2488
image_size:	4032x3024
focal_length:	3136.000
116: IMG_2489
image_size:	4032x3024
focal_length:	3136.000
117: IMG_2490
image_size:	4032x3024
focal_length:	3136.000
118: IMG_2491
image_size:	4032x3024
focal_length:	3136.000
119: IMG_2492
image_size:	4032x3024
focal_length:	3136.000
120: IMG_2493
image_size:	4032x3024
focal_length:	3136.000
121: IMG_2494
image_size:	4032x3024
focal_length:	3136.000
122: IMG_2495
image_size:	4032x3024
focal_length:	3136.000
123: IMG_2496
image_size:	4032x3024
focal_length:	3136.000
124: IMG_2497
image_size:	4032x3024
focal_length:	3136.000
125: IMG_2498
image_size:	4032x3024
focal_length:	3136.000
126: IMG_2499
image_size:	4032x3024
focal_length:	3136.000
127: IMG_2500
image_size:	4032x3024
focal_length:	3136.000
128: IMG_2501
image_size:	4032x3024
focal_length:	3136.000
129: IMG_2502
image_size:	4032x3024
focal_length:	3136.000
130: IMG_2503
image_size:	4032x3024
focal_length:	3136.000
131: IMG_2504
image_size:	4032x3024
focal_length:	3136.000
132: IMG_2505
image_size:	4032x3024
focal_length:	3136.000
133: IMG_2506
image_size:	4032x3024
focal_length:	3136.000
134: IMG_2507
image_size:	4032x3024
focal_length:	3136.000
135: IMG_2508
image_size:	4032x3024
focal_length:	3136.000
136: IMG_2509
image_size:	4032x3024
focal_length:	3136.000
137: IMG_2510
image_size:	4032x3024
focal_length:	3136.000
138: IMG_2511
image_size:	4032x3024
focal_length:	3136.000
139: IMG_2512
image_size:	4032x3024
focal_length:	3136.000
140: IMG_2513
image_size:	4032x3024
focal_length:	3136.000
141: IMG_2514
image_size:	4032x3024
focal_length:	3136.000
142: IMG_2515
image_size:	4032x3024
focal_length:	3136.000
143: IMG_2516
image_size:	4032x3024
focal_length:	3136.000
144: IMG_2517
image_size:	4032x3024
focal_length:	3136.000
145: IMG_2518
image_size:	4032x3024
focal_length:	3136.000
**************************************
Change the number of pixel-loaded images by 
modifying param_visual_data_budget in nv.ini
Use the PAUSE button to skip the pixel loading
**************************************
Loading image pixel data ...done in 34s

Run full 3D reconstruction, begin...
0 pairs have two-view models
0 pairs have fundamental matrices
----------------------------------------------------------------
Run full 3D reconstruction, finished
Totally 0.000 seconds used

